id|name|thumb_image|main_image|is_performer
307498|Bobby Jones (2)|https://i.discogs.com/wbLzqjYswaZwEowry8ydARnT5EijYmL4NZwqYq2m5KY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTMwNzQ5/OC0xNDE0OTM4NDQx/LTU1NjkuanBlZw.jpeg|https://i.discogs.com/McVT95mqxkSbkpEoA4LwDZO_EG-0jN8IQciz5b8YnLs/rs:fit/g:sm/q:90/h:369/w:244/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTMwNzQ5/OC0xNDE0OTM4NDQx/LTU1NjkuanBlZw.jpeg|1
252748|Butch Warren|https://i.discogs.com/2r8lN04g09sX1m46mvlxrvyZ1j31WOcKQP03ZeVECSU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI1Mjc0/OC0xNjI1MjI3NDkz/LTUxNDYuanBlZw.jpeg|https://i.discogs.com/u5P0K7f_26UICNi46lqPhanLDcJTTQvypk9bTrsY-R0/rs:fit/g:sm/q:90/h:709/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI1Mjc0/OC0xNjI1MjI3NDkz/LTUxNDYuanBlZw.jpeg|1
2053935|Mitsuru Yamada|||0
595653|Frankie Dunlop|https://i.discogs.com/QGToO1ttjeWPcPV10vbxVLIFnqvskumjGGfrEejpefA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTU5NTY1/My0xNjM4ODg1Mjg4/LTMwODEuanBlZw.jpeg|https://i.discogs.com/tJg2wETuNTrn0v7eiqGyrgQZZOIkQdGUAvMJvUGmw1Q/rs:fit/g:sm/q:90/h:665/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTU5NTY1/My0xNjM4ODg1Mjg4/LTMwODEuanBlZw.jpeg|1
2254115|Koichi Inakoshi|https://i.discogs.com/HMtM4VtTeIqppPyrEOyY3FGrF-6ftZJkYh2lu9HkrsQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTIyNTQx/MTUtMTYyMjQ3NTEz/Ni03MDEyLmpwZWc.jpeg|https://i.discogs.com/q70iDyNNMHjlQ5m7KM5vBrJyKEKSRZA3O-kqoQ6eC30/rs:fit/g:sm/q:90/h:422/w:284/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTIyNTQx/MTUtMTYyMjQ3NTEz/Ni03MDEyLmpwZWc.jpeg|0
145256|Thelonious Monk|https://i.discogs.com/8zIsjkuyGoh8c4O7iY4JJ_VJEmxu3dxd8xxodgReRhs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTE0NTI1/Ni0xMTYwNjgyNjgx/LmpwZWc.jpeg|https://i.discogs.com/le-f8Rp9W52kDeHOhEPs9yOpWYgIO4B6ww2CWHVTKW8/rs:fit/g:sm/q:90/h:480/w:322/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTE0NTI1/Ni0xMTYwNjgyNjgx/LmpwZWc.jpeg|1
216498|Charlie Rouse|https://i.discogs.com/NU7IwlMymaQ9OmXHk-XsRb6YwKkSMHvUoyG6K8WU2nw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTIxNjQ5/OC0xNjM4ODg1OTY3/LTQyMjIuanBlZw.jpeg|https://i.discogs.com/tdDSNjueazHlfXE6I_sYVLXnuuwZhUtgthxwSodjfKA/rs:fit/g:sm/q:90/h:684/w:448/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTIxNjQ5/OC0xNjM4ODg1OTY3/LTQyMjIuanBlZw.jpeg|1
242087|Alec Dankworth|https://i.discogs.com/DjWvZWp1YiCdP_0BoPOYBn0_GBdsELzvGbndnB550w4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI0MjA4/Ny0xMTAxMTQzODUw/LmpwZw.jpeg|https://i.discogs.com/OrglqxbJvPry_n3GZ0wFHQGqG19-KShWu8E0JihARf4/rs:fit/g:sm/q:90/h:240/w:287/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI0MjA4/Ny0xMTAxMTQzODUw/LmpwZw.jpeg|1
253717|Paul Morgan|https://i.discogs.com/BhFYK6laTUNSiWune7DkDgBQiDzYxhxOrrDv0l7Faqk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI1Mzcx/Ny0xNTM4Njg3MDc2/LTY5NTYuanBlZw.jpeg|https://i.discogs.com/VVHCqY3bvjZQKMpPgA_LhYIUZAw-Ea2d23nK2BXMkJs/rs:fit/g:sm/q:90/h:675/w:450/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI1Mzcx/Ny0xNTM4Njg3MDc2/LTY5NTYuanBlZw.jpeg|1
264979|Steve White (3)|https://i.discogs.com/QamKcEmQoGnQT7QaMhqAxwU_iGr15t4mx0dwz-0ghCw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI2NDk3/OS0xMTI2MTc5OTI5/LmpwZWc.jpeg|https://i.discogs.com/NryUZpMg-V2PA1dCO68_yvmbwpH9mkyIyfwxOlk-9js/rs:fit/g:sm/q:90/h:524/w:380/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI2NDk3/OS0xMTI2MTc5OTI5/LmpwZWc.jpeg|1
