id|title|year|url|thumb_image|cover_image|status
1565629|Max Roach - A Session With Max Roach|undefined|/master/1565629-Max-Roach-A-Session-With-Max-Roach|https://i.discogs.com/A7JnGP6kUxiipEUvKgb81JYxpcgLEpgWd8omvhfZ_Vo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMTA3/MDY1LTE2NDU1NTc5/NzctMTkwMS5qcGVn.jpeg|https://i.discogs.com/WZb2N-5x65_QdNx90GY88QY6fVgjGgLhwALeComkVHk/rs:fit/g:sm/q:90/h:587/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMTA3/MDY1LTE2NDU1NTc5/NzctMTkwMS5qcGVn.jpeg|ok
1067516|Charlie Parker And Dizzy Gillespie - Bird & Diz|1983|/Charlie-Parker-And-Dizzy-Gillespie-Bird-Diz/master/1067516|https://i.discogs.com/9cq_n59uRIbp42Lp1zjpTZk9LAldljSf_NkizMghXdo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU2OTM4/MTgtMTQwMDEwOTM1/Ni02NTYwLmpwZWc.jpeg|https://i.discogs.com/WC_6G2bwZrKfAwVioiN12Zp_1UwfnuCkYNZKNdg0Xy8/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU2OTM4/MTgtMTQwMDEwOTM1/Ni02NTYwLmpwZWc.jpeg|compilation
2084572|John Coltrane - Blue Train|2008|/John-Coltrane-Blue-Train/master/2084572|https://i.discogs.com/98VgPVSrsstJaRgM9foEOBRMAx2Ebf8keuESMOPa_rc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzNDA3/MTgtMTYxNzAwNjk2/NC0zMjgwLmpwZWc.jpeg|https://i.discogs.com/z8EtvrJfl3aqzmJEsum0GhvG4p5tbx7XdBdGwcNhXgo/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzNDA3/MTgtMTYxNzAwNjk2/NC0zMjgwLmpwZWc.jpeg|compilation
1403107|Bud Powell - De Face ... Et De Profil|1960|/master/1403107-Bud-Powell-De-Face--Et-De-Profil|https://i.discogs.com/q_vt6rEZHFlBDPIIa5_m2uCMP64PZXCNC9qxEiv4ST4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDIx/Mjg3LTE0OTAyNzY2/OTEtNTQxMC5qcGVn.jpeg|https://i.discogs.com/rXCjOUi_7d3f87WIzC6lgNYEjOvTItFM_Ff-v9N_NJ0/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDIx/Mjg3LTE0OTAyNzY2/OTEtNTQxMC5qcGVn.jpeg|compilation
1325870|Dizzy Gillespie And His Operatic Strings Orchestra* - Dizzy Gillespie And His Operatic Strings Orchestra|1952|/master/1325870-Dizzy-Gillespie-And-His-Operatic-Strings-Orchestra-Dizzy-Gillespie-And-His-Operatic-Strings-Orchestr|https://i.discogs.com/wIn1g0cMcMQOsrdX1BNb4ue7l8S0YTug39DS1e-P-eQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk1MDQy/MzQtMTQ4MTcyNzQ1/Mi00NDIxLmpwZWc.jpeg|https://i.discogs.com/b-cT_ONZuCA5IDFJT-PZM2lknPMu58OBg-iYbY45RsE/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk1MDQy/MzQtMTQ4MTcyNzQ1/Mi00NDIxLmpwZWc.jpeg|ok
842178|Phil Woods With The Hall Overton Quartet And George Wallington Quintet - Bird Calls, Volume 1|1987|/Phil-Woods-With-The-Hall-Overton-Quartet-And-George-Wallington-Quintet-Bird-Calls-Volume-1/master/842178|https://i.discogs.com/fNwRf1FjMofx26uSglMooLZR3_e0G5HpwvgkBf6ej9E/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM4Mzk3/NTAtMTQ3NzMwNzc3/NS05Nzk4LmpwZWc.jpeg|https://i.discogs.com/IlC_EbqgnVt0aBu3PajdoBfjb5qmp1CfH6YkKFbl9Ag/rs:fit/g:sm/q:90/h:615/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM4Mzk3/NTAtMTQ3NzMwNzc3/NS05Nzk4LmpwZWc.jpeg|compilation
1694713|Dave Brubeck - Columbia Jazz Profiles|2007|/Dave-Brubeck-Columbia-Jazz-Profiles/master/1694713|https://i.discogs.com/Y0Bw21qPOOMo5uGt2-NlptUUH7iXiG04TU0GljsjSTc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg4MTU5/OTUtMTUxNzY2OTU4/Ny0xOTAzLmpwZWc.jpeg|https://i.discogs.com/EMMEtdZAwqNjMh8adgh8ETsnJOnFfn34xe_VULlFZzs/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg4MTU5/OTUtMTUxNzY2OTU4/Ny0xOTAzLmpwZWc.jpeg|compilation
1833248|Charlie Parker - Charlie Parker No. 3|1949|/Charlie-Parker-Charlie-Parker-No-3/master/1833248|https://i.discogs.com/NpokyFWtPoyc9wLFahhBjYYDFfd7S5RYqGLJ7e7S36E/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMyODI0/MTEtMTYyMjIwNzc3/OS04MTAwLmpwZWc.jpeg|https://i.discogs.com/ZGtwYK_YaPforOavzhvhsAuPsTiZTbzLvnaxXmJ128o/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMyODI0/MTEtMTYyMjIwNzc3/OS04MTAwLmpwZWc.jpeg|compilation
609679|Dizzy Gillespie - Cool Breeze|2001|/Dizzy-Gillespie-Cool-Breeze/master/609679|https://i.discogs.com/4gdzipSlH2W8q4QrP5hN442AwP52JBQaKTHvam5kBdI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ2MTc1/NjctMTM3MDA5MTc3/NS04NDA3LmpwZWc.jpeg|https://i.discogs.com/3ZscgwDUAVehIHu6ruYs3Waw3xKDQSREwdP-n4P288U/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ2MTc1/NjctMTM3MDA5MTc3/NS04NDA3LmpwZWc.jpeg|compilation
810269|Babs Gonzales - The Be-Bop Santa Claus / Manhattan Fable|1954|/master/810269-Babs-Gonzales-The-Be-Bop-Santa-Claus-Manhattan-Fable|https://i.discogs.com/dnSw2nDKl5zOtWmzMHqdssYYfsl5smeGxQxIIGg76EU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMzU3/OTUtMTE4NjYyNzM2/OC5qcGVn.jpeg|https://i.discogs.com/a7U0xFPh_cg6S9GG2fsWq5qtoN8tZip6btdIBUA0Oy4/rs:fit/g:sm/q:90/h:599/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMzU3/OTUtMTE4NjYyNzM2/OC5qcGVn.jpeg|no-credit
935968|Sadik Hakim - The Canadian Concert Of Sadik Hakim|1974|/Sadik-Hakim-The-Canadian-Concert-Of-Sadik-Hakim/master/935968|https://i.discogs.com/pBQ4fGiDv3ofgRaHru8Zrh3UAgL1SmmHGbeuuvR9svs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMyNzMx/NjYtMTMzMDEwNjgw/NC5qcGVn.jpeg|https://i.discogs.com/LzLKIMgzaJR8xYTQ9CE6QLa0bkX0uu0jSonmbWbJyVc/rs:fit/g:sm/q:90/h:270/w:360/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMyNzMx/NjYtMTMzMDEwNjgw/NC5qcGVn.jpeg|ok
1164300|Charlie Parker - Bebop & Bird Volume 2|1988|/master/1164300-Charlie-Parker-Bebop-Bird-Volume-2|https://i.discogs.com/mNuZAsvH8wEcp-EoiBzcm2UfGguAEUUaU4sLZP2ibzM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1ODQ3/MzgtMTUyODA5MTY2/NS03OTgzLmpwZWc.jpeg|https://i.discogs.com/3f5Puax7Q783Sofn-Cr6uUQ1m88xQ5KP-aZg6ZK8RTc/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1ODQ3/MzgtMTUyODA5MTY2/NS03OTgzLmpwZWc.jpeg|compilation
2537668|Gene Ammons & Sonny Stitt - God Bless Jug And Sonny|2001|/master/2537668-Gene-Ammons-Sonny-Stitt-God-Bless-Jug-And-Sonny|https://i.discogs.com/Sp9zSK7WuYV6Nt70n9353dls9NFYyfW2C8-dTeyE7h8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxODQ5/NjktMTMxOTU1NjU2/Mi5qcGVn.jpeg|https://i.discogs.com/IMRLg5DojCibrvInon7GB7JrOyvzQwyYlxvDrmBEKsI/rs:fit/g:sm/q:90/h:170/w:170/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxODQ5/NjktMTMxOTU1NjU2/Mi5qcGVn.jpeg|ok
2594039|The Thelonious Monk Quartet - Thelonious Monk In Tokyo <2>|1963|/master/2594039-The-Thelonious-Monk-Quartet-Thelonious-Monk-In-Tokyo-|https://i.discogs.com/fNCD6TaSGs3MdDSkb3sGevO-uQfC4Y8dNM85TKF86jo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MTY4/NDg1LTE2NTAwMDc0/MDAtODgxNC5qcGVn.jpeg|https://i.discogs.com/nUu91mdtqOKBlJrzz14COyG6wuIq_RKGLJW18IOL788/rs:fit/g:sm/q:90/h:590/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MTY4/NDg1LTE2NTAwMDc0/MDAtODgxNC5qcGVn.jpeg|ok
