artist_id|master_id|roles
251691|239686|Producer
264872|239686|Tenor Saxophone
251778|239686|Trombone
156019|239686|Trumpet
149254|239686|Vibraphone [Vibraharp]
357714|537812|Bass
272679|537812|Drums
339187|537812|Engineer
166628|537812|Layout, Design, Producer
547169|537812|Layout, Design
1991136|537812|Photography By
296954|537812|Piano
263796|537812|Tenor Saxophone
258469|537812|Trumpet
2794799|479954|Acoustic Bass
4099|479954|Acoustic Guitar, Electric Guitar
30184|479954|Acoustic Guitar, Electric Guitar
96441|479954|Acoustic Guitar, Electric Guitar
328233|479954|Drums
274829|479954|Producer
251778|326501|Arranged By, Trombone, Written-By
609456|326501|Art Direction
95088|326501|Bass
1854092|326501|Design
135871|326501|Drums
305121|326501|Engineer
383801|326501|Engineer [Assistant]
253443|326501|Keyboards
696890|326501|Mastered By
309767|326501|Percussion
780971|326501|Photography By
166631|326501|Producer
10079|326501|Tenor Saxophone
273916|326501|Trumpet
256556|522997|Bass Guitar
263441|522997|Bass Guitar
320748|522997|Drums
125450|522997|Engineer
3138443|522997|Illustration
332791|522997|Liner Notes
265629|522997|Piano
251778|522997|Trombone
312526|522997|Trombone
274976|522997|Trombone
569163|522997|Trombone
260723|522997|Trombone
609456|570826|Art Direction
252998|570826|Bass
1926489|570826|Design
265354|570826|Drums
363563|570826|Engineer
254946|570826|Executive Producer
61587|570826|Guitar
342667|570826|Liner Notes
696890|570826|Mastered By [Metal Work]
2256957|570826|Photography
265629|570826|Piano
166631|570826|Producer
2389294|640942|Bass
2389293|640942|Drums
739321|640942|Liner Notes
268986|640942|Piano
257115|640942|Tenor Saxophone
1116274|1056217|Art Direction
300593|1056217|Engineer [Recording & Re-mix]
135966|1056217|Engineer [Recording & Re-mix]
1062040|1056217|Engineer [Recording & Re-mix]
330863|1056217|Engineer [Recording & Re-mix]
280707|1056217|Executive-Producer
1846418|1056217|Illustration
379890|1056217|Mastered By
824909|1056217|Piano
727352|1056217|Producer
261379|1056217|Sleeve Notes
322131|406320|Bass
259075|406320|Bass
29977|406320|Drums
263096|406320|Drums
252966|406320|Lacquer Cut By, Remastered By
334380|406320|Liner Notes
2605757|406320|Piano
267675|406320|Piano
284526|406320|Supervised By
263796|406320|Tenor Saxophone
259075|781206|Bass
251780|781206|Bass
817144|781206|Cover
229498|781206|Drums
255556|781206|Drums
29992|781206|Piano
145264|781206|Tenor Saxophone
309986|781206|Trumpet
349615|642120|Alto Saxophone
272340|642120|Bass
312641|642120|Drums
334380|642120|Liner Notes
277632|642120|Piano
339534|642120|Producer, Design, Photography By
252966|642120|Recorded By
41401|642120|Trumpet
1995656|360055|Art Direction
252998|360055|Bass
267717|360055|Drums
873378|360055|Engineer
342667|360055|Liner Notes
325845|360055|Mastered By
360475|360055|Mixed By
29966|360055|Piano
342012|360055|Producer
518450|870855|Bass
4615854|870855|Cover
255556|870855|Drums
1917267|870855|Liner Notes
430824|870855|Piano
323587|870855|Tenor Saxophone, Trumpet
312519|870855|Trumpet
29958|489185|Alto Saxophone [Alto Sax]
769522|489185|Bass
2029158|489185|Drums
353919|489185|Engineer [Recording Engineer]
371031|489185|Lacquer Cut By
2241764|489185|Photography By
364780|489185|Piano
941171|489185|Producer [Produced By]
251873|1672408|Alto Saxophone
258511|1672408|Bass
357714|1672408|Bass
255556|1672408|Drums
363563|1672408|Engineer
325845|1672408|Mastered By
152684|1672408|Piano
166631|1672408|Producer
259079|1672408|Tenor Saxophone
257008|1672408|Tenor Saxophone
10079|1672408|Tenor Saxophone
50123|1672408|Tenor Saxophone
251333|1672408|Tenor Saxophone
257423|461044|Bass
252607|461044|Drums
270609|461044|Engineer
274979|461044|Piano
266539|461044|Producer
261286|461044|Tenor Saxophone
253066|461044|Trombone, Written-By
427125|538759|Bass
2029538|538759|Design
339536|538759|Drums
252966|538759|Engineer [Recording]
342667|538759|Liner Notes
2320874|538759|Painting
261287|538759|Piano
251691|538759|Supervised By
636503|631400|Bass
268270|631400|Drums
1288963|631400|Liner Notes
341576|631400|Piano
251778|631400|Trombone
267186|631400|Trombone
75617|802463|Alto Saxophone
346676|802463|Alto Saxophone
2301356|802463|Design [Cover], Photography By [Liner]
1449547|802463|Drums
320760|802463|Drums
3525848|802463|Drums
1005210|802463|Edited By [Master tape prepared by]
2009726|802463|Layout [Liner]
332452|802463|Other [Special thanks to]
552743|802463|Photography By [Cover photo courtesy of], Tape [Source tapes courtesy of], Tenor Saxophone
259078|802463|Piano
320757|802463|Piano
2094680|802463|Producer
1463632|802463|Sleeve Notes, Tape [Source tapes courtesy of], Tenor Saxophone
3373834|802463|Tenor Saxophone
253066|802463|Trombone
437476|802463|Trumpet
1463631|802463|Trumpet
913030|802463|Trumpet [Probably]
253777|932852|Alto Saxophone
327033|932852|Baritone Saxophone
261974|932852|Bass
339534|932852|Design [Cover]
261196|932852|Drums
252966|932852|Engineer
334380|932852|Liner Notes
272016|932852|Piano
501234|932852|Tenor Saxophone
256168|749467|Bass
263097|749467|Drums
463465|749467|Liner Notes
265385|749467|Piano
257115|749467|Tenor Saxophone
312553|749467|Trombone
256091|821804|Bass
271001|821804|Drums
341960|821804|Engineer [Mixing]
431775|821804|Engineer [Recording]
1889021|821804|Layout [Cover]
3260248|821804|Liner Notes
272016|821804|Piano
266539|821804|Producer, Photography By
251875|628980|Bass
135871|628980|Drums
255897|628980|Engineer, Supervised By
342667|628980|Liner Notes
1914573|628980|Photography By
1049153|628980|Piano
266425|628980|Tenor Saxophone
285394|715492|Alto Saxophone, Flute
245741|715492|Baritone Saxophone, Soprano Saxophone
325649|715492|Bass
343046|715492|Drums
267024|715492|Drums
169495|715492|Piano, Organ
272669|715492|Tenor Saxophone
294578|715492|Trombone
142047|715492|Trumpet, Flugelhorn
267718|649017|Acoustic Guitar
104673|649017|Acoustic Guitar, Electric Guitar
609456|649017|Art Direction
290986|649017|Bass
1831691|649017|Design
271050|649017|Drums
388781|649017|Engineer
1714052|649017|Liner Notes
325845|649017|Mastered By
2235059|649017|Photography By
709825|649017|Producer
253777|692231|Alto Saxophone, Clarinet
3932217|692231|Artwork
455256|692231|Bass
307543|692231|Drums, Producer
569584|692231|Engineer
757794|692231|Engineer [2nd]
202256|692231|Executive-Producer
1328668|692231|Executive-Producer
1849553|692231|Liner Notes
2267918|692231|Photography By
455255|692231|Piano
297675|692231|Trumpet, Flugelhorn
252966|896488|Recorded By
258701|512651|Alto Saxophone
61585|512651|Alto Saxophone
264868|512651|Bass
599630|512651|Drums
258702|512651|Drums
339187|512651|Engineer
166628|512651|Hosted By, Supervised By, Producer
739321|512651|Liner Notes
1830231|512651|Photography By
23165|512651|Piano
251769|512651|Tenor Saxophone
255563|512651|Tenor Saxophone
30486|512651|Tenor Saxophone
251778|512651|Trombone
64694|512651|Trumpet
258459|512651|Trumpet
254975|142702|Bass
339534|142702|Design, Photography By
295642|142702|Drums
1637286|142702|Liner Notes
218046|142702|Piano
252966|142702|Recorded By
254944|142702|Supervised By
217242|142702|Trumpet, Flugelhorn
258367|1114718|A&R
349615|1114718|Alto Saxophone
263441|1114718|Bass
271155|1114718|Drums
57626|1114718|Electric Piano
1043095|1114718|Liner Notes
315729|1114718|Percussion
252610|1114718|Piano
339534|1114718|Producer, Design, Photography By
399141|1114718|Recorded By
307498|1114718|Tenor Saxophone, Soprano Saxophone, Clarinet
252748|355922|Bass
2053935|355922|Cover [Design]
595653|355922|Drums
2254115|355922|Photography By [Cover]
145256|355922|Piano
216498|355922|Tenor Saxophone
242087|769289|Bass
253717|769289|Bass
264979|769289|Drums, Producer, Mixed By
362878|769289|Guitar
808892|769289|Keyboards
1400430|769289|Percussion
327296|769289|Percussion
53001|769289|Percussion
26453|769289|Producer
338116|769289|Producer, Mixed By, Saxophone, Flute, Written-By
1553361|769289|Producer, Mixed By
362877|769289|Trumpet
258701|1333271|Alto Saxophone
264868|1333271|Bass
258702|1333271|Drums
339187|1333271|Engineer
739321|1333271|Liner Notes
1830231|1333271|Photography [Cover]
23165|1333271|Piano
166628|1333271|Producer
251769|1333271|Tenor Saxophone
255563|1333271|Tenor Saxophone
258459|1333271|Trumpet
29958|896481|Alto Saxophone
253445|896481|Bass
1915387|896481|Design [Cover]
257251|896481|Drums
342667|896481|Liner Notes
292019|896481|Photography By [Photo]
463696|896481|Piano
259082|896481|Trumpet
262160|618301|Bass
2476102|618301|Design
274396|618301|Drums
1753686|618301|Liner Notes
277632|618301|Piano
339534|618301|Producer, Photography By
399141|618301|Recorded By
1211627|1113093|Bass
3973593|1113093|Drums
59407|1113093|Piano
323953|2192899|Acoustic Guitar, Electric Guitar
253777|2192899|Alto Saxophone
729817|2192899|Artwork By
285231|2192899|Bass, Liner Notes
9591685|2192899|Coordinator [Production Coordinator]
437947|2192899|Coordinator [Production Coordinator]
1267550|2192899|Drums
254394|2192899|Piano
611497|2192899|Producer, Coordinator [Production Coordinator]
519658|2192899|Recorded By, Mixed By, Mastered By
516438|2192899|Vocals
1268428|2192899|Vocals
64694|629909|Written-By
2641933|629909|Written-By
